frequency,vm(out)
"0,01","0,03809869"
"0,01258925","0,04794306"
"0,01584893","0,06031621"
"0,01995262","0,07585294"
"0,02511886","0,09533292"
"0,03162278","0,1196993"
"0,03981072","0,150065"
"0,05011872","0,1876886"
"0,06309573","0,2338888"
"0,07943282","0,289848"
"0,1","0,3562493"
"0,1258925","0,4327183"
"0,1584893","0,5171756"
"0,1995262","0,605447"
"0,2511886","0,6916635"
"0,3162278","0,7697005"
"0,3981072","0,8350576"
"0,5011872","0,8860066"
"0,6309573","0,9233952"
"0,7943282","0,9495727"
1,"0,9672819"
"1,258925","0,9789789"
"1,584893","0,9865814"
"1,995262","0,9914703"
"2,511886","0,9945926"
"3,162278","0,996578"
"3,981072","0,9978367"
"5,011872","0,9986334"
"6,309573","0,9991371"
"7,943282","0,9994553"
10,"0,9996562"
"12,58925","0,999783"
"15,84893","0,9998631"
"19,95262","0,9999136"
"25,11886","0,9999455"
"31,62278","0,9999656"
"39,81072","0,9999783"
"50,11872","0,9999863"
"63,09573","0,9999914"
"79,43282","0,9999945"
100,"0,9999966"
