frequency,vm(out)
1.000000e-02,6.816233e+00
1.023293e-02,6.974765e+00
1.047129e-02,7.136973e+00
1.071519e-02,7.302941e+00
1.096478e-02,7.472755e+00
1.122018e-02,7.646503e+00
1.148154e-02,7.824276e+00
1.174898e-02,8.006166e+00
1.202264e-02,8.192268e+00
1.230269e-02,8.382676e+00
1.258925e-02,8.577490e+00
1.288250e-02,8.776810e+00
1.318257e-02,8.980739e+00
1.348963e-02,9.189382e+00
1.380384e-02,9.402846e+00
1.412538e-02,9.621240e+00
1.445440e-02,9.844677e+00
1.479108e-02,1.007327e+01
1.513561e-02,1.030714e+01
1.548817e-02,1.054640e+01
1.584893e-02,1.079117e+01
1.621810e-02,1.104158e+01
1.659587e-02,1.129776e+01
1.698244e-02,1.155983e+01
1.737801e-02,1.182793e+01
1.778279e-02,1.210219e+01
1.819701e-02,1.238276e+01
1.862087e-02,1.266976e+01
1.905461e-02,1.296334e+01
1.949845e-02,1.326366e+01
1.995262e-02,1.357085e+01
2.041738e-02,1.388507e+01
2.089296e-02,1.420648e+01
2.137962e-02,1.453524e+01
2.187762e-02,1.487149e+01
2.238721e-02,1.521542e+01
2.290868e-02,1.556718e+01
2.344229e-02,1.592694e+01
2.398833e-02,1.629489e+01
2.454709e-02,1.667119e+01
2.511886e-02,1.705602e+01
2.570396e-02,1.744957e+01
2.630268e-02,1.785202e+01
2.691535e-02,1.826356e+01
2.754229e-02,1.868439e+01
2.818383e-02,1.911469e+01
2.884032e-02,1.955467e+01
2.951209e-02,2.000453e+01
3.019952e-02,2.046447e+01
3.090295e-02,2.093470e+01
3.162278e-02,2.141542e+01
3.235937e-02,2.190686e+01
3.311311e-02,2.240922e+01
3.388442e-02,2.292273e+01
3.467369e-02,2.344760e+01
3.548134e-02,2.398406e+01
3.630781e-02,2.453234e+01
3.715352e-02,2.509265e+01
3.801894e-02,2.566525e+01
3.890451e-02,2.625034e+01
3.981072e-02,2.684818e+01
4.073803e-02,2.745899e+01
4.168694e-02,2.808301e+01
4.265795e-02,2.872048e+01
4.365158e-02,2.937164e+01
